trade_id_v2_disc,symbol_v2_disc,strategy_name_v2_disc,direction_v2_disc,signal_time_v2_disc,entry_time,entry_price_v2_disc,exit_time_v2_disc,exit_price_v2_disc,exit_reason_v2_disc,stop_loss_v2_disc,take_profit_v2_disc,holding_bars_v2_disc,risk_pips_v2_disc,pnl_gross_pips_v2_disc,spread_cost_pips_v2_disc,slippage_cost_pips_v2_disc,commission_pips_v2_disc,pnl_net_pips_v2_disc,pnl_r_multiple_v2_disc,regime_v2_disc,session_v2_disc,year_v2_disc,metadata_v2_disc,trend_transition,adx_14,ema_stack,trade_id_v3_rep,symbol_v3_rep,strategy_name_v3_rep,direction_v3_rep,signal_time_v3_rep,entry_price_v3_rep,exit_time_v3_rep,exit_price_v3_rep,exit_reason_v3_rep,stop_loss_v3_rep,take_profit_v3_rep,holding_bars_v3_rep,risk_pips_v3_rep,pnl_gross_pips_v3_rep,spread_cost_pips_v3_rep,slippage_cost_pips_v3_rep,commission_pips_v3_rep,pnl_net_pips_v3_rep,pnl_r_multiple_v3_rep,regime_v3_rep,session_v3_rep,year_v3_rep,metadata_v3_rep,r_diff
79,GBPUSD,TF_PB,1,2023-06-14 10:15:00+00:00,2023-06-14 10:30:00+00:00,1.26133,2023-06-14 11:45:00+00:00,1.2633492857142856,TP,1.260135357142857,1.2634492857142856,6,11.046428571428853,22.19285714285535,1.2,0.8,0.7,19.49285714285557,1.764629809086752,WEAK_BULL__LOW_VOL,LONDON,2023,{'atr': 0.0007364285714285902},RANGE_TO_TREND,32.24086682329183,1,20,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-06-14 10:15:00+00:00,1.26133,2023-06-14 11:15:00+00:00,1.2622446428571428,TP,1.260135357142857,1.2623446428571428,4,11.046428571428853,11.146428571426892,1.2,0.8,0.7,8.446428571427113,0.7646298091773148,WEAK_BULL__LOW_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 18.531498704514714}",0.9999999999094372
84,GBPUSD,TF_PB,1,2023-07-04 10:30:00+00:00,2023-07-04 10:45:00+00:00,1.26954,2023-07-04 14:15:00+00:00,1.2717192857142858,TP,1.2682353571428573,1.2718192857142858,15,11.946428571428562,23.79285714285917,1.2,0.8,0.7,21.09285714285939,1.7656203287014232,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.000796428571428571},RANGE_TO_TREND,29.040752083818465,1,22,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-07-04 10:30:00+00:00,1.26954,2023-07-04 13:15:00+00:00,1.2705246428571428,TP,1.2682353571428573,1.2706246428571428,11,11.946428571428562,11.846428571429257,1.2,0.8,0.7,9.146428571429478,0.7656203287850171,STRONG_BULL__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 16.555524301724056}",0.9999999999164061
86,GBPUSD,TF_PB,1,2023-07-07 15:15:00+00:00,2023-07-07 15:30:00+00:00,1.27939,2023-07-07 15:30:00+00:00,1.2773285714285714,SL,1.2774285714285714,1.282532857142857,1,17.014285714285123,-18.614285714286805,1.2,0.8,0.7,-21.314285714286584,-1.2527287992547622,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,{'atr': 0.001134285714285675},RANGE_TO_TREND,32.971679185760124,1,23,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-07-07 15:15:00+00:00,1.27939,2023-07-07 15:30:00+00:00,1.2773285714285714,SL,1.2774285714285714,1.2808314285714284,1,17.014285714285123,-18.614285714286805,1.2,0.8,0.7,-21.314285714286584,-1.2527287992547622,STRONG_BULL__NORMAL_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 11.352810555108157}",0.0
124,GBPUSD,TF_PB,-1,2023-09-25 09:15:00+00:00,2023-09-25 09:30:00+00:00,1.22358,2023-09-25 09:45:00+00:00,1.2243296428571426,SL,1.2242296428571426,1.2225807142857144,2,5.49642857142818,-5.496428571427625,1.2,0.8,0.7,-8.196428571427404,-1.4912280699040237,STRONG_BEAR__CONTRACTION,LONDON,2023,{'atr': 0.00036642857142854535},RANGE_TO_TREND,24.68831034723149,-1,33,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-09-25 09:15:00+00:00,1.22358,2023-09-25 09:45:00+00:00,1.2243296428571426,SL,1.2242296428571426,1.2231303571428571,2,5.49642857142818,-5.496428571427625,1.2,0.8,0.7,-8.196428571427404,-1.4912280699040237,STRONG_BEAR__CONTRACTION,LONDON,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 7.825145901711121}",0.0
150,GBPUSD,TF_PB,1,2023-11-14 11:00:00+00:00,2023-11-14 11:15:00+00:00,1.22881,2023-11-14 15:30:00+00:00,1.230835,TP,1.2275375,1.230935,18,11.325000000000204,22.249999999999215,1.2,0.8,0.7,19.549999999999436,1.7262693155207784,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.0007550000000000136},RANGE_TO_TREND,35.17562575828083,1,38,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-11-14 11:00:00+00:00,1.22881,2023-11-14 11:30:00+00:00,1.2297025,TP,1.2275375,1.2298025,2,11.325000000000204,10.924999999999407,1.2,0.8,0.7,8.224999999999628,0.7262693156091136,STRONG_BULL__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 19.59264995888534}",0.9999999999116649
156,GBPUSD,TF_PB,1,2023-11-27 10:00:00+00:00,2023-11-27 10:15:00+00:00,1.26207,2023-11-27 10:30:00+00:00,1.2608467857142858,SL,1.2609467857142858,1.2640164285714286,2,10.232142857142561,-10.2321428571428,1.2,0.8,0.7,-12.93214285714258,-1.2638743454262278,STRONG_BULL__NORMAL_VOL,LONDON,2023,{'atr': 0.0006821428571428376},RANGE_TO_TREND,52.44853846266227,1,40,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-11-27 10:00:00+00:00,1.26207,2023-11-27 10:30:00+00:00,1.2608467857142858,SL,1.2609467857142858,1.2629932142857143,2,10.232142857142561,-10.2321428571428,1.2,0.8,0.7,-12.93214285714258,-1.2638743454262278,STRONG_BULL__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 37.96308972031322}",0.0
172,GBPUSD,TF_PB,-1,2023-12-18 14:45:00+00:00,2023-12-18 15:00:00+00:00,1.26575,2023-12-18 19:00:00+00:00,1.262947857142857,TP,1.2673510714285714,1.262847857142857,17,15.01071428571461,30.02142857142953,1.2,0.8,0.7,27.321428571429752,1.8201284795361716,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,{'atr': 0.0010007142857143072},RANGE_TO_TREND,47.587259889792975,-1,43,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-12-18 14:45:00+00:00,1.26575,2023-12-18 17:30:00+00:00,1.2644489285714284,TP,1.2673510714285714,1.2643489285714284,11,15.01071428571461,15.010714285714766,1.2,0.8,0.7,12.310714285714987,0.8201284796027803,STRONG_BEAR__NORMAL_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 29.5571097300166}",0.9999999999333913
176,GBPUSD,TF_PB,1,2023-12-27 09:00:00+00:00,2023-12-27 09:15:00+00:00,1.27351,2023-12-27 09:30:00+00:00,1.2727571428571427,SL,1.2728571428571427,1.2745157142857144,2,5.528571428571961,-5.528571428572437,1.2,0.8,0.7,-8.228571428572216,-1.4883720927540403,STRONG_BULL__CONTRACTION,LONDON,2023,{'atr': 0.0003685714285714641},RANGE_TO_TREND,26.74501349076402,1,44,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2023-12-27 09:00:00+00:00,1.27351,2023-12-27 09:30:00+00:00,1.2727571428571427,SL,1.2728571428571427,1.2739628571428572,2,5.528571428571961,-5.528571428572437,1.2,0.8,0.7,-8.228571428572216,-1.4883720927540403,STRONG_BULL__CONTRACTION,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 11.498455329123253}",0.0
195,GBPUSD,TF_PB,-1,2024-02-05 11:30:00+00:00,2024-02-05 11:45:00+00:00,1.26042,2024-02-05 13:30:00+00:00,1.2580378571428572,TP,1.2618110714285715,1.2579378571428572,8,12.910714285714647,25.82142857142866,1.2,0.8,0.7,23.121428571428883,1.7908713691558678,WEAK_BEAR__LOW_VOL,LONDON,2024,{'atr': 0.0008607142857143099},RANGE_TO_TREND,27.77162838654358,-1,49,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-02-05 11:30:00+00:00,1.26042,2024-02-05 12:00:00+00:00,1.2593289285714286,TP,1.2618110714285715,1.2592289285714287,2,12.910714285714647,12.91071428571433,1.2,0.8,0.7,10.210714285714552,0.7908713692333473,WEAK_BEAR__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.56761771686537}",0.9999999999225204
214,GBPUSD,TF_PB,1,2024-03-07 15:00:00+00:00,2024-03-07 15:15:00+00:00,1.27531,2024-03-07 16:45:00+00:00,1.2770207142857144,TP,1.274269642857143,1.2771207142857144,7,9.503571428571595,19.10714285714432,1.2,0.8,0.7,16.407142857144542,1.7264186394276566,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,{'atr': 0.0006335714285714397},RANGE_TO_TREND,28.72755617235521,1,54,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-03-07 15:00:00+00:00,1.27531,2024-03-07 15:30:00+00:00,1.276070357142857,TP,1.274269642857143,1.276170357142857,2,9.503571428571595,9.603571428571378,1.2,0.8,0.7,6.903571428571598,0.7264186395327382,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,"{'transition_quality': 'STRONG', 'adx_delta': 17.891690595637286}",0.9999999998949184
