trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata
1,USDJPY,RANGE_TO_TREND_TFPB_V1,-1,2023-01-17 17:30:00+00:00,2023-01-17 17:45:00+00:00,128.4455,2023-01-17 18:00:00+00:00,128.1052857142857,TP,128.8002142857143,128.09778571428572,2,35.121428571428176,35.52142857142826,0.9,0.6,0.7,33.32142857142962,0.9487492373128686,STRONG_BEAR__HIGH_VOL,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 16.232097224760857}"
2,USDJPY,RANGE_TO_TREND_TFPB_V1,-1,2023-01-20 01:00:00+00:00,2023-01-20 01:15:00+00:00,128.3655,2023-01-20 02:00:00+00:00,128.48239285714286,SL,128.47489285714286,128.26510714285715,4,10.489285714285248,-10.189285714287166,0.9,0.6,0.7,-12.389285714285801,-1.1811372147325365,STRONG_BEAR__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 14.994147639507025}"
3,USDJPY,RANGE_TO_TREND_TFPB_V1,-1,2023-01-25 23:45:00+00:00,2023-01-26 00:00:00+00:00,129.5435,2023-01-26 01:00:00+00:00,129.47507142857143,TP,129.69042857142858,129.46757142857143,5,11.142857142857057,9.042857142856064,2.3000000000000003,0.6,0.7,6.142857142856928,0.5512820512325622,WEAK_BEAR__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.57227156631181}"
4,USDJPY,RANGE_TO_TREND_TFPB_V1,-1,2023-01-30 01:15:00+00:00,2023-01-30 01:30:00+00:00,129.7845,2023-01-30 02:00:00+00:00,129.90314285714285,SL,129.89564285714286,129.67835714285715,3,10.864285714285213,-10.36428571428587,0.9,0.6,0.7,-12.564285714284505,-1.1564760025233434,STRONG_BEAR__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 17.976051948680393}"
5,USDJPY,RANGE_TO_TREND_TFPB_V1,1,2023-01-31 14:45:00+00:00,2023-01-31 15:00:00+00:00,130.4385,2023-01-31 15:30:00+00:00,130.27885714285716,SL,130.28635714285716,130.57564285714287,3,14.46428571428535,-14.464285714285552,0.9,0.6,0.7,-16.664285714284187,-1.1520987653523709,STRONG_BULL__LOW_VOL,OVERLAP,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 7.721876664018719}"
6,USDJPY,RANGE_TO_TREND_TFPB_V1,-1,2023-02-02 03:45:00+00:00,2023-02-02 04:00:00+00:00,128.5975,2023-02-02 10:45:00+00:00,128.89371428571428,SL,128.8862142857143,128.32178571428574,28,28.22142857142873,-28.121428571429874,0.9,0.6,0.7,-30.32142857142851,-1.0744115413438495,STRONG_BEAR__NORMAL_VOL,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 33.38966322184702}"
7,USDJPY,RANGE_TO_TREND_TFPB_V1,1,2023-02-16 17:30:00+00:00,2023-02-16 17:45:00+00:00,134.2055,2023-02-16 18:30:00+00:00,133.93839285714287,SL,133.94589285714287,134.45010714285715,4,25.210714285714076,-25.210714285714175,0.9,0.6,0.7,-27.41071428571281,-1.0872644850113637,STRONG_BULL__NORMAL_VOL,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 32.445996733771494}"
8,USDJPY,RANGE_TO_TREND_TFPB_V1,1,2023-02-21 17:30:00+00:00,2023-02-21 17:45:00+00:00,134.8515,2023-02-22 01:45:00+00:00,134.98850000000002,TIME_EXPIRY,134.6185357142857,135.0734642857143,33,22.746428571428773,15.200000000001523,0.9,0.6,0.7,13.000000000002888,0.5715182917005419,STRONG_BULL__HIGH_VOL,NY_LATE,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 9.259712269450677}"
9,USDJPY,RANGE_TO_TREND_TFPB_V1,1,2023-02-23 15:15:00+00:00,2023-02-23 15:30:00+00:00,135.0205,2023-02-23 15:30:00+00:00,135.13025000000002,TP,134.90225,135.13775,1,11.774999999999583,12.475000000000591,0.9,0.6,0.7,10.275000000001956,0.8726114648942428,STRONG_BULL__LOW_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 17.409634139227478}"
10,USDJPY,RANGE_TO_TREND_TFPB_V1,1,2023-02-27 08:30:00+00:00,2023-02-27 08:45:00+00:00,136.42249999999999,2023-02-27 09:00:00+00:00,136.24639285714287,SL,136.25389285714286,136.57210714285716,2,15.910714285714128,-16.110714285713357,0.9,0.6,0.7,-18.310714285711992,-1.1508417507692867,STRONG_BULL__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 12.653932473470253}"
