trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata
1,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-01-20 09:00:00+00:00,2023-01-20 09:15:00+00:00,1.08344,2023-01-20 09:15:00+00:00,1.084154642857143,TP,1.0825453571428572,1.0842146428571429,1,8.346428571428769,8.346428571428532,0.8,0.4,0.7,6.446428571429553,0.7723577234847976,WEAK_BULL__LOW_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 16.664901515594487}"
2,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-02-07 11:15:00+00:00,2023-02-07 11:30:00+00:00,1.07232,2023-02-07 13:15:00+00:00,1.0707149999999999,TP,1.0741049999999999,1.070655,8,17.249999999999766,17.249999999999766,0.8,0.4,0.7,15.350000000000787,0.88985507241224,STRONG_BEAR__NORMAL_VOL,LONDON,2023,"{'transition_quality': 'MODERATE', 'adx_delta': 8.378613570263951}"
3,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-02-14 04:00:00+00:00,2023-02-14 04:15:00+00:00,1.0730199999999999,2023-02-14 06:15:00+00:00,1.0736085714285715,TP,1.0722714285714285,1.0736685714285714,9,6.985714285713659,7.085714285715028,0.8,0.4,0.7,5.185714285716048,0.742331288237613,STRONG_BULL__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 18.219408159737124}"
4,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-02-27 07:00:00+00:00,2023-02-27 07:15:00+00:00,1.0546600000000002,2023-02-27 07:15:00+00:00,1.0541621428571428,TP,1.055357857142857,1.0541021428571429,1,6.278571428571403,6.178571428572255,0.8,0.4,0.7,4.278571428573275,0.6814562001192913,STRONG_BEAR__LOW_VOL,LONDON,2023,"{'transition_quality': 'STRONG', 'adx_delta': 15.647515640119975}"
5,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-03-01 22:30:00+00:00,2023-03-01 22:45:00+00:00,1.06627,2023-03-01 23:30:00+00:00,1.067029642857143,TP,1.0653303571428572,1.067089642857143,4,8.796428571428386,8.79642857142926,0.8,0.4,0.7,6.89642857143028,0.7840032479825408,WEAK_BULL__CONTRACTION,NY_LATE,2023,"{'transition_quality': 'STRONG', 'adx_delta': 11.403536631112546}"
6,EURUSD,RANGE_TO_TREND_TFPB_V1,-1,2023-03-16 15:15:00+00:00,2023-03-16 15:30:00+00:00,1.05755,2023-03-16 15:45:00+00:00,1.0603075,SL,1.0602475,1.0549525000000002,2,26.47499999999977,-26.375000000000703,0.8,0.4,0.7,-28.274999999999682,-1.0679886685148985,STRONG_BEAR__LOW_VOL,OVERLAP,2023,"{'transition_quality': 'STRONG', 'adx_delta': 10.78389725551187}"
7,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-03-22 04:00:00+00:00,2023-03-22 04:15:00+00:00,1.07735,2023-03-22 04:45:00+00:00,1.0765635714285715,SL,1.0766235714285715,1.0779564285714287,3,6.664285714285599,-6.664285714286233,0.8,0.4,0.7,-8.564285714285212,-1.2851018218864267,STRONG_BULL__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 14.073432814486067}"
8,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-12 06:00:00+00:00,2023-04-12 06:15:00+00:00,1.09222,2023-04-12 07:45:00+00:00,1.092762142857143,TP,1.091497857142857,1.092822142857143,7,6.621428571428889,6.621428571429444,0.8,0.4,0.7,4.721428571430464,0.7130528585764896,STRONG_BULL__LOW_VOL,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 31.63849343823935}"
9,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-14 01:30:00+00:00,2023-04-14 01:45:00+00:00,1.1049,2023-04-14 03:00:00+00:00,1.1051625,TP,1.1044575,1.1052225,6,3.8250000000000783,3.8249999999995232,0.8,0.4,0.7,1.9250000000005436,0.5032679737247676,STRONG_BULL__CONTRACTION,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 22.029608294671856}"
10,EURUSD,RANGE_TO_TREND_TFPB_V1,1,2023-04-19 05:45:00+00:00,2023-04-19 06:00:00+00:00,1.09745,2023-04-19 07:45:00+00:00,1.0966817857142859,SL,1.0967417857142858,1.0980382142857144,8,6.482142857142975,-6.482142857142659,0.8,0.4,0.7,-8.382142857141638,-1.293112947458702,WEAK_BULL__LOW_VOL,ASIAN,2023,"{'transition_quality': 'STRONG', 'adx_delta': 14.233530232434951}"
